scopus_id,title,authors,doi,year,source,url,origin_title,origin_year
105001507793,What helps age-tech startups scale-up? Some insights,Chakraborty I.,10.1007/s11365-025-01081-w,2025-12-01,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/105001507793,"Benefits, Challenges, and Implications of Open-Source Software for Health-Tech Startups: An Empirical Study",2024-01-01
105004793559,"A Secure E-commerce Shopping Cart Design with Multi-factor Authentication, Tokenized Payment Processing, and Open-Source Integration for Enhanced User Experience and Reduced Development Time",Samonte M.J.C.,10.1007/978-981-96-1210-9_39,2025-01-01,Smart Innovation Systems and Technologies,https://api.elsevier.com/content/abstract/scopus_id/105004793559,"Benefits, Challenges, and Implications of Open-Source Software for Health-Tech Startups: An Empirical Study",2024-01-01
85199381949,"How do we pivot? Facilitators, inhibitors, and strategies of tech healthcare startups before, during, and after a crisis",Dhir A.,10.1016/j.techfore.2024.123606,2024-10-01,Technological Forecasting and Social Change,https://api.elsevier.com/content/abstract/scopus_id/85199381949,"Benefits, Challenges, and Implications of Open-Source Software for Health-Tech Startups: An Empirical Study",2024-01-01
85218753635,Digital Ecosystems for Wellness: The Role of Startups in Creating Applications for Physical and Mental Health,Shirali P.,10.22122/ijbmc.v11i5.804,2024-09-26,International Journal of Body Mind and Culture,https://api.elsevier.com/content/abstract/scopus_id/85218753635,"Benefits, Challenges, and Implications of Open-Source Software for Health-Tech Startups: An Empirical Study",2024-01-01
[missing],[missing],[missing],[missing],[missing],[missing],[missing],Cross ML for Io(H)T Network Traffic Classification: A New Approach Towards Standardization,2024-01-01
105010629204,An AI-blockchain-assisted smart agriculture framework for enabling secure and efficient data transaction: a hybrid approach,Kaushik I.,10.1007/s10115-025-02526-y,2025-11-01,Knowledge and Information Systems,https://api.elsevier.com/content/abstract/scopus_id/105010629204,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105019519139,XAI-driven multi-attention DeepCRNN for enhanced cyberattack detection in internet of medical things environments,Shambharkar P.G.,10.1016/j.pmcj.2025.102123,2025-11-01,Pervasive and Mobile Computing,https://api.elsevier.com/content/abstract/scopus_id/105019519139,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105000402689,Enhancing IoT security through boosting and feature reduction techniques for multiclass intrusion detection,Hamdouchi A.,10.1007/s00521-025-11001-2,2025-11-01,Neural Computing and Applications,https://api.elsevier.com/content/abstract/scopus_id/105000402689,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105001676398,Velocity Paused Particle Swarm Optimization-based Intelligent Long Short-Term Memory Framework for Intrusion Detection System in Internet of Medical Things,Dash P.B.,10.1007/s13369-025-10091-3,2025-10-01,Arabian Journal for Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/105001676398,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105007498317,Transforming security in internet of medical things with advanced deep learning-based intrusion detection frameworks,Sharma N.,10.1016/j.asoc.2025.113420,2025-08-01,Applied Soft Computing,https://api.elsevier.com/content/abstract/scopus_id/105007498317,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105002924866,Deciphering TON-IoT threats: Meta-heuristic and deep learning for attack classification,Fang Y.,10.1016/j.eswa.2025.127414,2025-07-05,Expert Systems with Applications,https://api.elsevier.com/content/abstract/scopus_id/105002924866,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105004661547,Memory feedback transformer based intrusion detection system for IoMT healthcare networks,Shaikh J.A.,10.1016/j.iot.2025.101597,2025-07-01,Internet of Things the Netherlands,https://api.elsevier.com/content/abstract/scopus_id/105004661547,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105000380602,Network traffic inspection to enhance anomaly detection in the Internet of Things using attention-driven Deep Learning,Hernandez-Jaimes M.L.,10.1016/j.vlsi.2025.102398,2025-07-01,Integration,https://api.elsevier.com/content/abstract/scopus_id/105000380602,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85211078881,Machine Learning-Based Attack Detection for the Internet of Things,Bikila D.D.,10.1016/j.future.2024.107630,2025-05-01,Future Generation Computer Systems,https://api.elsevier.com/content/abstract/scopus_id/85211078881,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105004644095,Classification of Multiclass DDOS Attack Detection Using Bayesian Weighted Random Forest Optimized With Gazelle Optimization Algorithm,Barona R.,10.1002/ett.70092,2025-04-01,Transactions on Emerging Telecommunications Technologies,https://api.elsevier.com/content/abstract/scopus_id/105004644095,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85214972063,A Convolution Neural Network and Genetic Algorithm-Based Abnormity Detection Model for Cyber Attacks,Wang F.,10.1142/S0218126625501014,2025-03-15,Journal of Circuits Systems and Computers,https://api.elsevier.com/content/abstract/scopus_id/85214972063,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85210415837,An Effective Deep Learning-Based Intrusion Detection System for the Healthcare Environment,Balaji K.,10.1142/S1469026824500330,2025-03-01,International Journal of Computational Intelligence and Applications,https://api.elsevier.com/content/abstract/scopus_id/85210415837,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85213723656,Power density optimization for proton exchange membrane fuel cell stack based on data-driven and improved light spectrum algorithm,Chen X.,10.1016/j.enconman.2024.119467,2025-02-15,Energy Conversion and Management,https://api.elsevier.com/content/abstract/scopus_id/85213723656,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105001815283,Short-term traffic flow prediction via weight optimization of composite models,He X.,10.1080/19427867.2024.2353485,2025-01-01,Transportation Letters,https://api.elsevier.com/content/abstract/scopus_id/105001815283,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105015417321,ELSO: A New Enhanced Light Spectrum Optimization Algorithm,Wang J.,[missing],2025-01-01,Engineering Letters,https://api.elsevier.com/content/abstract/scopus_id/105015417321,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105018871907,An Intuitive Security Paradigm Based on Novel Deep Learning Model for the Detection of Cyber-Assaults in IoHT Networks,Ganesh M.,10.1007/s40998-025-00921-3,2025-01-01,Iranian Journal of Science and Technology Transactions of Electrical Engineering,https://api.elsevier.com/content/abstract/scopus_id/105018871907,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105010741334,Optimizing Flyrock Forecasting in Open-Pit Blasting Using Hybrid Machine Learning Models,Zhang Y.,10.1007/s00603-025-04730-2,2025-01-01,Rock Mechanics and Rock Engineering,https://api.elsevier.com/content/abstract/scopus_id/105010741334,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85208393631,Ensuring patient safety in IoMT: A systematic literature review of behavior-based intrusion detection systems,Doménech J.,10.1016/j.iot.2024.101420,2024-12-01,Internet of Things the Netherlands,https://api.elsevier.com/content/abstract/scopus_id/85208393631,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85206922846,An intelligent identification method of draft tube vortex rope based on dynamic feature extraction and random forest: Application to a prototype pump-turbine,Zhou T.,10.1016/j.est.2024.114227,2024-11-20,Journal of Energy Storage,https://api.elsevier.com/content/abstract/scopus_id/85206922846,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85204452564,An optimized and interpretable carbon price prediction: Explainable deep learning model,Sayed G.I.,10.1016/j.chaos.2024.115533,2024-11-01,Chaos Solitons and Fractals,https://api.elsevier.com/content/abstract/scopus_id/85204452564,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
105007031440,Fault Diagnosis of Hydropower Units Based on EMD-DRSN and ILSO-SVM,Tian B.,10.12396/znsd.231969,2024-08-15,China Rural Water and Hydropower,https://api.elsevier.com/content/abstract/scopus_id/105007031440,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85196956894,Estimating crop evapotranspiration of wheat-maize rotation system using hybrid convolutional bidirectional Long Short-Term Memory network with grey wolf algorithm in Chinese Loess Plateau region,Dong J.,10.1016/j.agwat.2024.108924,2024-08-01,Agricultural Water Management,https://api.elsevier.com/content/abstract/scopus_id/85196956894,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85173778247,Deep learning-based network intrusion detection in smart healthcare enterprise systems,Ravi V.,10.1007/s11042-023-17300-x,2024-04-01,Multimedia Tools and Applications,https://api.elsevier.com/content/abstract/scopus_id/85173778247,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85181050591,A comparative study of cyber security intrusion detection in healthcare systems,Zhang Y.,10.1016/j.ijcip.2023.100658,2024-03-01,International Journal of Critical Infrastructure Protection,https://api.elsevier.com/content/abstract/scopus_id/85181050591,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85213360535,Development of a Cloud-Based Tablet Dispensing and Packaging Machine Monitoring and Control System in Pharmacies,Wang L.C.,10.1007/978-3-031-74485-3_27,2024-01-01,Lecture Notes in Mechanical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85213360535,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
85185133273,Harnessing Federated Learning for Efficient Analysis of Large-Scale Healthcare Image Datasets in IoT-Enabled Healthcare Systems,Padthe A.,[missing],2024-01-01,International Journal of Intelligent Systems and Applications in Engineering,https://api.elsevier.com/content/abstract/scopus_id/85185133273,LSO-CSL: Light spectrum optimizer-based convolutional stacked long short term memory for attack detection in IoT-based healthcare applications,2023-12-01
