scopus_id,eid,title,authors,doi,year,source,volume,issue,pages,issn,isbn,affiliations,subject_areas,references,citations,url,abstract,language,publisher
105015633577,2-s2.0-105015633577,"Enhancing IoT Security Schemes Through Governance, Risk, and Compliance (GRC)",Al-Haj A.,10.1007/978-3-031-99353-4_19,2026-01-01,Communications in Computer and Information Science,2540 CCIS,,217-226,18650929,"[{'@_fa': 'true', '$': '[9783031993527]'}]","[{'@_fa': 'true', 'affilname': 'Department of Computer Science', 'affiliation-city': 'West Lafayette', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Princess Sumaya University', 'affiliation-city': 'Amman', 'affiliation-country': 'Jordan'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105015633577,,,
105013654248,2-s2.0-105013654248,Deep learning with leagues championship algorithm based intrusion detection on cybersecurity driven industrial IoT systems,Alotaibi S.S.,10.1038/s41598-025-15464-0,2025-12-01,Scientific Reports,15,1,,,,"[{'@_fa': 'true', 'affilname': 'Umm Al-Qura University', 'affiliation-city': 'Makkah', 'affiliation-country': 'Saudi Arabia'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105013654248,,,
105004425176,2-s2.0-105004425176,A secure IoT-edge architecture with data-driven AI techniques for early detection of cyber threats in healthcare,Kumari M.,10.1007/s43926-025-00147-z,2025-12-01,Discover Internet of Things,5,1,,,,"[{'@_fa': 'true', 'affilname': 'G H Raisoni University, Saikheda', 'affiliation-city': 'Pandhurna', 'affiliation-country': 'India'}]",,3,3,https://api.elsevier.com/content/abstract/scopus_id/105004425176,,,
85217731625,2-s2.0-85217731625,A novel cyber threat intelligence platform for evaluating the risk associated with smart agriculture,Thilakarathne N.N.,10.1038/s41598-025-85320-8,2025-12-01,Scientific Reports,15,1,,,,"[{'@_fa': 'true', 'affilname': 'Universiti Brunei Darussalam', 'affiliation-city': 'Bandar Seri Begawan', 'affiliation-country': 'Brunei Darussalam'}]",,2,2,https://api.elsevier.com/content/abstract/scopus_id/85217731625,,,
85215356810,2-s2.0-85215356810,Intelligent two-phase dual authentication framework for Internet of Medical Things,Asif M.,10.1038/s41598-024-84713-5,2025-12-01,Scientific Reports,15,1,,,,"[{'@_fa': 'true', 'affilname': 'Bacha Khan University', 'affiliation-city': 'Charsadda', 'affiliation-country': 'Pakistan'}]",,25,25,https://api.elsevier.com/content/abstract/scopus_id/85215356810,,,
105014285087,2-s2.0-105014285087,Security risk assessment of internet of things health devices using DREAD and STRIDE models,Zhai B.,10.1016/j.asej.2025.103721,2025-11-01,Ain Shams Engineering Journal,16,11,,20904479,,"[{'@_fa': 'true', 'affilname': 'Tiangong University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105014285087,,,
105016328840,2-s2.0-105016328840,Bridging cybersecurity with digital twin technology: a thematic analysis,Achuthan K.,10.1007/s10207-025-01115-y,2025-10-01,International Journal of Information Security,24,5,,16155262,,"[{'@_fa': 'true', 'affilname': 'Amrita University, Amritapuri Campus', 'affiliation-city': 'Kollam', 'affiliation-country': 'India'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105016328840,,,
105009592776,2-s2.0-105009592776,"A Survey on anomaly detection in IoT: Techniques, challenges, and opportunities with the integration of 6G",Haider Z.A.,10.1016/j.comnet.2025.111484,2025-10-01,Computer Networks,270,,,13891286,,"[{'@_fa': 'true', 'affilname': 'Qurtuba University of Science and Information Technology', 'affiliation-city': 'Peshawar', 'affiliation-country': 'Pakistan'}]",,1,1,https://api.elsevier.com/content/abstract/scopus_id/105009592776,,,
105017121015,2-s2.0-105017121015,"Bridging Domains: Advances in Explainable, Automated, and Privacy-Preserving AI for Computer Science and Cybersecurity",Harrath Y.,10.3390/computers14090374,2025-09-01,Computers,14,9,,,,"[{'@_fa': 'true', 'affilname': 'Dakota State University', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105017121015,,,
105012746124,2-s2.0-105012746124,Enhancing AI transparency in IoT intrusion detection using explainable AI techniques,Wang Y.,10.1016/j.iot.2025.101714,2025-09-01,Internet of Things the Netherlands,33,,,,,"[{'@_fa': 'true', 'affilname': 'Warwick Manufacturing Group', 'affiliation-city': 'Coventry', 'affiliation-country': 'United Kingdom'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105012746124,,,
